thc_mean	trend_ran	trend_std	resi_range	resi_std
42.5347758415479	33356.7308572649	20.5395092623676	3327.58568071535	7.90813928647725
43.4178289132359	16839.197973571	22.1922452467421	1683.98083437605	3.91534165471358
37.36051515244	24016.2358470412	25.419687490463	4370.22003845332	5.3726615192114
36.016479995117	14165.7765434736	24.9398876918851	2050.56917020173	9.29270302438429
38.525101474044	12078.3104953154	19.2856379894406	3434.88876003296	7.00576799829096
38.9348124637593	22996.3072603534	22.2669545579394	3398.87691885128	6.34315012054811
39.8233588671529	25127.719962157	21.8149632251961	1719.38230536821	7.58415478988006
42.6208380382702	29813.5319071017	20.1028748435926	3773.40006714072	3.25370036927396
47.1130100405896	23598.7426374096	23.3923673207801	2389.93499557482	4.42292550431837
39.9867854853969	14415.723136082	20.0144688253426	2637.74529251991	9.37400433362835
37.9277016510514	16887.7224036378	19.1737815485092	3014.22162541581	7.49455244605853
42.4519180883206	26986.2971892453	18.9386547441023	1329.72197637867	8.57588427381207
50.8109378337962	35833.3079012421	22.041581469161	2874.56892605365	6.51869258705405
50.1576891384625	38548.8448744163	21.2822443311869	3821.6193121128	6.04040650654622
38.9609057893612	16494.0336313974	22.1752281258583	1105.47196874905	5.35483870967742
49.4559160130619	18737.1440778832	24.9988250373852	4520.61525315104	2.04394665364544
49.6481826227607	29018.8299203467	24.9894863734855	4170.6289864803	2.61256752220222
36.4866176335948	30461.7450483718	21.0529282509842	4576.28101443526	9.9602038636433
49.0462050233467	36178.4722434156	19.8009247108371	2200.10986663411	7.34244819483016
41.8009582811975	34253.9750358593	23.0536851100192	2070.34516434217	4.21246986297189
36.0315866573077	22799.4628742332	19.4993896298105	1658.22321237831	2.99954222235786
39.3545945616016	34794.1526535844	21.6688650166326	1070.80294198431	6.2999359111301
37.4699240089114	23484.2982268746	21.700408948027	1190.31342509232	8.58320871608631
50.7468489638966	16930.753501999	20.3541886654256	2314.98153630177	2.28174687948241
45.9282815027314	35394.756920072	21.0572862941374	4820.67323831904	5.91637928403577
39.1133457441939	27210.6082338939	24.1882290108951	4772.20984527116	2.25562303537095
38.0348216193121	29412.5186925871	21.1998565630055	2428.99868770409	7.50358592486343
43.5148777733695	28361.4612262337	22.6672719504379	4989.74578081607	6.36780907620472
42.1383404034547	30168.7673574023	23.8501693777276	4132.41981261635	7.21427045503098
45.8728904080325	16939.9090548418	19.0106662190619	4486.92281868954	5.79747917111728
41.9620960112308	37249.6719260231	19.0494735557115	1324.59486678671	7.25748466444899
40.3388164922025	37306.4363536485	20.5253975035859	2994.44563127537	5.91051973021638
